MAC	b37	b38
1643	1	3
1644	0	1
1645	2	2
1646	2	0
1647	0	1
1648	3	5
1649	2	0
1650	2	2
1651	1	0
1652	0	1
1653	1	2
1654	1	0
1655	0	1
1656	1	3
1657	2	1
1658	1	2
1659	1	0
1660	3	5
1661	2	4
1662	1	0
1663	3	1
1664	2	3
1665	6	5
1666	4	2
1667	0	2
1668	0	4
1669	1	1
1670	2	1
1671	2	5
1672	1	0
1673	5	5
1674	0	0
1675	2	1
1676	1	2
1677	2	4
1678	3	1
1679	1	0
1680	0	1
1681	0	2
1682	1	0
1683	0	0
1684	0	0
1685	0	1
1686	0	0
1687	0	3
1688	1	0
1689	2	2
1690	3	3
1691	0	1
1692	2	2
1693	2	1
1694	2	3
1695	2	1
1696	0	1
1697	2	3
1698	3	4
1699	2	3
1700	1	1
1701	1	2
1702	4	1
1703	0	1
1704	1	5
1705	4	3
1706	3	0
1707	0	3
1708	1	3
1709	0	0
1710	0	0
1711	1	1
1712	3	2
1713	1	0
1714	1	0
1715	0	2
1716	0	3
1717	3	2
1718	1	0
1719	0	0
1720	0	1
1721	3	2
1722	1	0
1723	2	1
1724	1	0
1725	1	4
1726	1	2
1727	2	1
1728	2	1
1729	0	0
1730	0	0
1731	0	0
1732	0	1
1733	2	0
1734	1	0
1735	0	1
1736	1	0
1737	0	0
1738	0	0
1739	0	0
1740	1	1
1741	1	2
1742	1	1
1743	2	0
1744	1	3
1745	1	0
1746	0	3
1747	0	2
1748	0	1
1749	1	2
1750	1	1
1751	2	3
1752	2	1
1753	1	2
1754	1	1
1755	1	3
1756	2	2
1757	1	1
1758	1	2
1759	0	1
1760	0	0
1761	2	1
1762	2	1
1763	2	1
1764	0	1
1765	1	2
1766	2	4
1767	1	0
1768	0	0
1769	1	1
1770	1	0
1771	1	3
1772	5	2
1773	0	4
1774	2	2
1775	0	2
1776	1	0
1777	0	0
1778	2	1
1779	1	1
1780	3	1
1781	3	4
1782	0	0
1783	0	1
1784	0	3
1785	0	0
1786	3	3
1787	0	2
1788	3	3
1789	0	2
1790	0	1
1791	2	0
1792	0	3
1793	1	0
1794	1	1
1795	1	2
1796	1	1
1797	0	0
1798	2	1
1799	1	0
1800	1	4
1801	2	0
1802	1	4
1803	1	1
1804	2	2
1805	0	2
1806	0	1
1807	1	0
1808	0	1
1809	3	3
1810	3	1
1811	0	2
1812	3	2
1813	1	2
1814	1	0
1815	2	1
1816	2	3
1817	1	3
1818	1	1
1819	0	2
1820	3	1
1821	1	1
1822	0	1
1823	1	2
1824	1	1
1825	2	2
1826	3	1
1827	0	0
1828	0	0
1829	0	4
1830	1	1
1831	1	0
1832	0	1
1833	0	1
1834	0	0
1835	1	1
1836	1	1
1837	2	0
1838	0	2
1839	1	0
1840	1	3
1841	0	2
1842	1	1
1843	1	1
1844	2	1
1845	2	1
1846	3	3
1847	4	1
1848	1	3
1849	2	2
1850	1	1
1851	0	1
1852	1	0
1853	2	2
1854	1	5
1855	0	0
1856	4	1
1857	1	2
1858	2	1
1859	0	0
1860	2	4
1861	0	0
1862	0	0
1863	2	2
1864	1	2
1865	0	1
1866	0	2
1867	4	1
1868	0	0
1869	1	2
1870	1	1
1871	2	3
1872	1	0
1873	0	2
1874	1	2
1875	1	0
1876	3	2
1877	0	2
1878	1	2
1879	1	2
1880	3	4
1881	2	1
1882	4	3
