Index,R2_base,R2_boot_1,R2_boot_2,R2_boot_3,R2_boot_4,R2_boot_5,R2_boot_6,R2_boot_7,R2_boot_8,R2_boot_9,R2_boot_10
36,0.0014352800525932305,0.0005714673093331023,0.0007301537026064927,0.001463102946706864,0.002963464942125282,0.0018861604578027293,0.001269737755286327,0.00301656509492913,0.0013560129188609424,0.0026006866067892747,0.0036631304525321495
37,0.08602111581112404,0.12841286796514614,0.1985395406404714,0.19999679638647477,0.07816988998905307,0.04606673972835257,0.08362458900995193,0.1309711073128439,0.13348833525755402,0.0839947522004461,0.07770969684629297
38,0.9626915225171453,0.8446901596812372,0.9211598057728825,0.9578966992372532,0.918048762674402,0.9979549726125203,0.9607050341731989,0.9672051982308422,0.9687198785950041,0.9578139780984808,0.9340004299748521
40,0.08602113058250786,0.12841286103178978,0.19853951164593453,0.1999968609185095,0.0781698669676993,0.046066769974575386,0.08362450247142222,0.13097113603950902,0.13348829918093322,0.08399482983263515,0.07770973550981493
41,0.9884343960407752,0.9862962082128913,0.9904874044514568,0.9859693704342666,0.983300061976692,0.9850960256142874,0.9813346467111985,0.9886189561173125,0.9835061268102188,0.9835643388489703,0.9911764785192324
42,0.08602109428232649,0.12841279518137227,0.19853949625242584,0.19999674965692307,0.078169825931902,0.04606673004985156,0.08362448777171053,0.1309712106559998,0.1334881986579155,0.08399476920783447,0.07770968951720506
43,0.9789575204804745,0.9856449353322132,0.9840801782329955,0.9726318934110949,0.9991693250156032,0.9802766957752037,0.9577955762751215,0.9714622933017745,0.96402302619896,0.980110733829119,0.9865496225965091
44,0.9998154004473141,0.9998433598970755,0.9998520393916768,0.9998504141151738,0.9998350550891237,0.9997847718492555,0.9998735795044512,0.9998867993406039,0.9997985960487884,0.9998404499563182,0.9998491988231057
45,0.999293665680732,0.9994010811065376,0.9999299653546231,0.9989355125260012,0.9988231135264766,0.9994659413218223,0.9992994105249585,0.9989212586036045,0.9993122474345415,0.9989230362414924,0.9996342238041087
46,0.9992936655736104,0.9994010814863021,0.9999299653799302,0.998935512050077,0.998823112611025,0.999465941876281,0.9992994104362286,0.9989212589523631,0.9993122484500724,0.9989230376770025,0.999634222954156
